"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"EST","HUR","WOMEN","PC_LF","A","2016",6.066381,
"EST","HUR","WOMEN","PC_LF","A","2017",5.298813,
"EST","HUR","WOMEN","PC_LF","A","2018",5.324687,
"EST","HUR","WOMEN","PC_LF","A","2019",4.835785,
"SWE","HUR","WOMEN","PC_LF","A","2016",6.586585,
"SWE","HUR","WOMEN","PC_LF","A","2017",6.439616,
"SWE","HUR","WOMEN","PC_LF","A","2018",6.235263,"B"
"SWE","HUR","WOMEN","PC_LF","A","2019",6.955979,
"FIN","HUR","WOMEN","PC_LF","A","2016",8.57287,
"FIN","HUR","WOMEN","PC_LF","A","2017",8.380827,
"FIN","HUR","WOMEN","PC_LF","A","2018",7.289299,
"FIN","HUR","WOMEN","PC_LF","A","2019",6.171155,
"GBR","HUR","WOMEN","PC_LF","A","2016",4.680531,
"GBR","HUR","WOMEN","PC_LF","A","2017",4.215108,
"GBR","HUR","WOMEN","PC_LF","A","2018",3.940552,
"GBR","HUR","WOMEN","PC_LF","A","2019",3.535064,
"GRC","HUR","WOMEN","PC_LF","A","2016",28.09769,
"GRC","HUR","WOMEN","PC_LF","A","2017",26.07083,
"GRC","HUR","WOMEN","PC_LF","A","2018",24.23657,
"GRC","HUR","WOMEN","PC_LF","A","2019",21.49731,
"PRT","HUR","WOMEN","PC_LF","A","2016",11.1672,
"PRT","HUR","WOMEN","PC_LF","A","2017",9.350579,
"PRT","HUR","WOMEN","PC_LF","A","2018",7.437895,
"PRT","HUR","WOMEN","PC_LF","A","2019",7.148053,
"IRL","HUR","WOMEN","PC_LF","A","2016",7.597966,
"IRL","HUR","WOMEN","PC_LF","A","2017",6.295649,"B"
"IRL","HUR","WOMEN","PC_LF","A","2018",5.689196,
"IRL","HUR","WOMEN","PC_LF","A","2019",4.685566,
"LTU","HUR","WOMEN","PC_LF","A","2016",6.652481,
"LTU","HUR","WOMEN","PC_LF","A","2017",5.678053,
"LTU","HUR","WOMEN","PC_LF","A","2018",5.409909,
"LTU","HUR","WOMEN","PC_LF","A","2019",5.490226,
"NOR","HUR","WOMEN","PC_LF","A","2016",3.90976,
"NOR","HUR","WOMEN","PC_LF","A","2017",3.689486,
"NOR","HUR","WOMEN","PC_LF","A","2018",3.538916,
"NOR","HUR","WOMEN","PC_LF","A","2019",3.391926,
"FRA","HUR","WOMEN","PC_LF","A","2016",9.839479,
"FRA","HUR","WOMEN","PC_LF","A","2017",9.367135,
"FRA","HUR","WOMEN","PC_LF","A","2018",9.047928,
"FRA","HUR","WOMEN","PC_LF","A","2019",8.378796,
"AUT","HUR","WOMEN","PC_LF","A","2016",5.542861,
"AUT","HUR","WOMEN","PC_LF","A","2017",5.033657,
"AUT","HUR","WOMEN","PC_LF","A","2018",4.649181,
"AUT","HUR","WOMEN","PC_LF","A","2019",4.348755,
"CZE","HUR","WOMEN","PC_LF","A","2016",4.67356,
"CZE","HUR","WOMEN","PC_LF","A","2017",3.580901,
