"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","HUR","MEN","PC_LF","A","2016",5.573468,
"NLD","HUR","MEN","PC_LF","A","2017",4.477647,
"NLD","HUR","MEN","PC_LF","A","2018",3.721625,
"NLD","HUR","MEN","PC_LF","A","2019",3.400811,
"IRL","HUR","MEN","PC_LF","A","2016",9.023996,
"IRL","HUR","MEN","PC_LF","A","2017",7.067681,"B"
"IRL","HUR","MEN","PC_LF","A","2018",5.782411,
"IRL","HUR","MEN","PC_LF","A","2019",5.174826,
"POL","HUR","MEN","PC_LF","A","2016",6.109614,
"POL","HUR","MEN","PC_LF","A","2017",4.871879,
"POL","HUR","MEN","PC_LF","A","2018",3.843871,
"POL","HUR","MEN","PC_LF","A","2019",3.018143,
"BEL","HUR","MEN","PC_LF","A","2016",8.061985,"B"
"BEL","HUR","MEN","PC_LF","A","2017",7.11471,
"BEL","HUR","MEN","PC_LF","A","2018",6.283442,
"BEL","HUR","MEN","PC_LF","A","2019",5.731449,
"GBR","HUR","MEN","PC_LF","A","2016",4.923618,
"GBR","HUR","MEN","PC_LF","A","2017",4.431983,
"GBR","HUR","MEN","PC_LF","A","2018",4.045242,
"GBR","HUR","MEN","PC_LF","A","2019",3.917819,
"DNK","HUR","MEN","PC_LF","A","2016",5.642581,"B"
"DNK","HUR","MEN","PC_LF","A","2017",5.638452,
"DNK","HUR","MEN","PC_LF","A","2018",4.941623,
"DNK","HUR","MEN","PC_LF","A","2019",4.797517,
"CZE","HUR","MEN","PC_LF","A","2016",3.379693,
"CZE","HUR","MEN","PC_LF","A","2017",2.338037,
"CZE","HUR","MEN","PC_LF","A","2018",1.791738,
"CZE","HUR","MEN","PC_LF","A","2019",1.722697,
"SVN","HUR","MEN","PC_LF","A","2016",7.491035,
"SVN","HUR","MEN","PC_LF","A","2017",5.779647,
"SVN","HUR","MEN","PC_LF","A","2018",4.605018,
"SVN","HUR","MEN","PC_LF","A","2019",4.005805,
"ITA","HUR","MEN","PC_LF","A","2016",10.89056,
"ITA","HUR","MEN","PC_LF","A","2017",10.33921,
"ITA","HUR","MEN","PC_LF","A","2018",9.745541,
"ITA","HUR","MEN","PC_LF","A","2019",9.094415,
"CHE","HUR","MEN","PC_LF","A","2016",4.841963,
"CHE","HUR","MEN","PC_LF","A","2017",4.571178,
"CHE","HUR","MEN","PC_LF","A","2018",4.368399,
"CHE","HUR","MEN","PC_LF","A","2019",4.115638,
"SVK","HUR","MEN","PC_LF","A","2016",8.773276,
"SVK","HUR","MEN","PC_LF","A","2017",7.899541,
"SVK","HUR","MEN","PC_LF","A","2018",6.134281,
"SVK","HUR","MEN","PC_LF","A","2019",5.585682,
"NOR","HUR","MEN","PC_LF","A","2016",5.358527,
"NOR","HUR","MEN","PC_LF","A","2017",4.581336,
"NOR","HUR","MEN","PC_LF","A","2018",4.031107,
"NOR","HUR","MEN","PC_LF","A","2019",3.948791,
"HUN","HUR","MEN","PC_LF","A","2016",5.1233,
"HUN","HUR","MEN","PC_LF","A","2017",3.811268,
